Your meter readings and usage,,
,,
This is also where you submit new readings for your meters.,,
ELECTRICITY,,
,,
GAS,,
,,
,,
Electricity usage,,
"* Usage graphs/tables are provided for indicative purposes only and may not represent your accurate monthly consumption or may contain elements of estimation. To view your actual monthly consumption, please refer to your statements.",,
"Submitting regular monthly readings will increase your usage accuracy, allowing you to better understand your energy usage.",,
Hide usage table,,
Month ending,Meter Reading,
1 (Unit),12-Dec-23,13238
1 (Unit),10-Nov-23,12995
1 (Unit),10-Oct-23,12814
1 (Unit),10-Sep-23,12679
1 (Unit),10-Aug-23,12565
1 (Unit),10-Jul-23,12417
1 (Unit),30-Jun-23,12354
1 (Unit),10-Jun-23,12265
1 (Unit),10-May-23,12091
1 (Unit),10-Apr-23,11929
1 (Unit),10-Mar-23,11758
1 (Unit),10-Feb-23,11559
