City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Paris,1924,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,10m platform,M,Bronze
Paris,1924,Aquatics,Diving,"WHITE, Albert",USA,Men,10m platform,M,Gold
Paris,1924,Aquatics,Diving,"FALL, David",USA,Men,10m platform,M,Silver
Paris,1924,Aquatics,Diving,"TÖPEL, Hjördis",SWE,Women,10m platform,W,Bronze
Paris,1924,Aquatics,Diving,"SMITH, Caroline",USA,Women,10m platform,W,Gold
Paris,1924,Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,10m platform,W,Silver
Paris,1924,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,3m springboard,M,Bronze
Paris,1924,Aquatics,Diving,"WHITE, Albert",USA,Men,3m springboard,M,Gold
Paris,1924,Aquatics,Diving,"DESJARDINS, Ulise Joseph ""Peter""",USA,Men,3m springboard,M,Silver
Paris,1924,Aquatics,Diving,"FLETCHER, Caroline",USA,Women,3m springboard,W,Bronze
Paris,1924,Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,3m springboard,W,Gold
Paris,1924,Aquatics,Diving,"RIGGIN, Aileen",USA,Women,3m springboard,W,Silver
Paris,1924,Aquatics,Diving,"CLARKE, Harold",GBR,Men,plain high diving,M,Bronze
Paris,1924,Aquatics,Diving,"EVE, Richmond",AUS,Men,plain high diving,M,Gold
Paris,1924,Aquatics,Diving,"JANSSON, John",SWE,Men,plain high diving,M,Silver
Paris,1924,Aquatics,Swimming,"BARTHA, István",HUN,Men,100m backstroke,M,Bronze
Paris,1924,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold
Paris,1924,Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Silver
Paris,1924,Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100m backstroke,W,Bronze
Paris,1924,Aquatics,Swimming,"BAUER, Sybil",USA,Women,100m backstroke,W,Gold
Paris,1924,Aquatics,Swimming,"HARDING, Phyllis",GBR,Women,100m backstroke,W,Silver
Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100m freestyle,M,Bronze
Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold
Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Silver
Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100m freestyle,W,Bronze
Paris,1924,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,100m freestyle,W,Gold
Paris,1924,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,100m freestyle,W,Silver
Paris,1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,1500m freestyle,M,Bronze
Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500m freestyle,M,Gold
Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500m freestyle,M,Silver
Paris,1924,Aquatics,Swimming,"KIRSHBAUM, William",USA,Men,200m breaststroke,M,Bronze
Paris,1924,Aquatics,Swimming,"SKELTON, Robert",USA,Men,200m breaststroke,M,Gold
Paris,1924,Aquatics,Swimming,"DE COMBE, Joseph",BEL,Men,200m breaststroke,M,Silver
Paris,1924,Aquatics,Swimming,"CARSON, Gladys",GBR,Women,200m breaststroke,W,Bronze
